         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      19:32:00.00      |     50°45.94'N     |     147°46.72'E     |
|      19:31:30.00      |     50°29.53'N     |     147°59.86'E     |
|      19:31:00.00      |     50°13.11'N     |     148°12.95'E     |
|      19:30:30.00      |     49°56.68'N     |     148°25.97'E     |
|      19:30:00.00      |     49°40.23'N     |     148°38.93'E     |
|      19:29:30.00      |     49°23.78'N     |     148°51.83'E     |
|      19:29:00.00      |     49°07.31'N     |     149°04.68'E     |
|      19:28:30.00      |     48°50.84'N     |     149°17.46'E     |
|      19:28:00.00      |     48°34.35'N     |     149°30.20'E     |
|      19:27:30.00      |     48°17.85'N     |     149°42.87'E     |
|      19:27:00.00      |     48°01.34'N     |     149°55.50'E     |
|      19:26:30.00      |     47°44.82'N     |     150°08.07'E     |
|      19:26:00.00      |     47°28.29'N     |     150°20.59'E     |
|      19:25:30.00      |     47°11.75'N     |     150°33.06'E     |
|      19:25:00.00      |     46°55.20'N     |     150°45.48'E     |
|      19:24:30.00      |     46°38.65'N     |     150°57.85'E     |
|      19:24:00.00      |     46°22.08'N     |     151°10.17'E     |
|      19:23:30.00      |     46°05.50'N     |     151°22.45'E     |
|      19:23:00.00      |     45°48.92'N     |     151°34.68'E     |
|      19:22:30.00      |     45°32.32'N     |     151°46.86'E     |
|      19:22:00.00      |     45°15.72'N     |     151°59.00'E     |
|      19:21:30.00      |     44°59.11'N     |     152°11.10'E     |
|      19:21:00.00      |     44°42.50'N     |     152°23.15'E     |
|      19:20:30.00      |     44°25.87'N     |     152°35.17'E     |
|      19:20:00.00      |     44°09.24'N     |     152°47.14'E     |
|      19:19:30.00      |     43°52.60'N     |     152°59.06'E     |
|      19:19:00.00      |     43°35.96'N     |     153°10.95'E     |
|      19:18:30.00      |     43°19.31'N     |     153°22.80'E     |
|      19:18:00.00      |     43°02.65'N     |     153°34.61'E     |
|      19:17:30.00      |     42°45.99'N     |     153°46.39'E     |
|      19:17:00.00      |     42°29.33'N     |     153°58.12'E     |
|      19:16:30.00      |     42°12.66'N     |     154°09.82'E     |
|      19:16:00.00      |     41°55.98'N     |     154°21.48'E     |
|      19:15:30.00      |     41°39.30'N     |     154°33.10'E     |
|      19:15:00.00      |     41°22.62'N     |     154°44.69'E     |
|      19:14:30.00      |     41°05.94'N     |     154°56.25'E     |
|      19:14:00.00      |     40°49.25'N     |     155°07.77'E     |
|      19:13:30.00      |     40°32.57'N     |     155°19.26'E     |
|      19:13:00.00      |     40°15.88'N     |     155°30.71'E     |
|      19:12:30.00      |     39°59.19'N     |     155°42.13'E     |
|      19:12:00.00      |     39°42.50'N     |     155°53.52'E     |
|      19:11:30.00      |     39°25.80'N     |     156°04.88'E     |
|      19:11:00.00      |     39°09.11'N     |     156°16.20'E     |
|      19:10:30.00      |     38°52.42'N     |     156°27.50'E     |
|      19:10:00.00      |     38°35.74'N     |     156°38.76'E     |
|      19:09:30.00      |     38°19.05'N     |     156°49.99'E     |
|      19:09:00.00      |     38°02.37'N     |     157°01.20'E     |
|      19:08:30.00      |     37°45.69'N     |     157°12.37'E     |
|      19:08:00.00      |     37°29.01'N     |     157°23.52'E     |
|      19:07:30.00      |     37°12.34'N     |     157°34.64'E     |
|      19:07:00.00      |     36°55.68'N     |     157°45.73'E     |
|      19:06:30.00      |     36°39.02'N     |     157°56.79'E     |
|      19:06:00.00      |     36°22.36'N     |     158°07.83'E     |
|      19:05:30.00      |     36°05.71'N     |     158°18.84'E     |
|      19:05:00.00      |     35°49.07'N     |     158°29.82'E     |
|      19:04:30.00      |     35°32.44'N     |     158°40.77'E     |
|      19:04:00.00      |     35°15.82'N     |     158°51.70'E     |
|      19:03:30.00      |     34°59.20'N     |     159°02.60'E     |
|      19:03:00.00      |     34°42.60'N     |     159°13.48'E     |
|      19:02:30.00      |     34°26.01'N     |     159°24.34'E     |
|      19:02:00.00      |     34°09.42'N     |     159°35.16'E     |
|      19:01:30.00      |     33°52.86'N     |     159°45.97'E     |
|      19:01:00.00      |     33°36.30'N     |     159°56.75'E     |
|      19:00:30.00      |     33°19.76'N     |     160°07.50'E     |
|      19:00:00.00      |     33°03.23'N     |     160°18.24'E     |
|      18:59:30.00      |     32°46.71'N     |     160°28.94'E     |
|      18:59:00.00      |     32°30.21'N     |     160°39.63'E     |
|      18:58:30.00      |     32°13.73'N     |     160°50.29'E     |
|      18:58:00.00      |     31°57.27'N     |     161°00.93'E     |
|      18:57:30.00      |     31°40.82'N     |     161°11.55'E     |
|      18:57:00.00      |     31°24.39'N     |     161°22.15'E     |
